X,Y,Z,constraint_1,constraint_2
2.4,1.8,644.3075,14,0.5
2.4,1.8,626.3245,2,0.6
2.4,1.8,629.5898,4,0.6
2.4,1.8,632.7256,6,0.6
2.4,1.8,636.0927,8,0.6
2.4,1.8,639.5177,10,0.6
2.4,1.8,643.0424,12,0.6
2.4,1.8,646.7332,14,0.6
2.4,1.8,628.8561,2,0.7
2.4,1.8,631.9483,4,0.7
2.4,1.8,634.875,6,0.7
2.4,1.8,638.1936,8,0.7
2.4,1.8,641.2822,10,0.7
2.4,1.8,644.4135,12,0.7
2.4,1.8,647.6164,14,0.7
2.4,1.8,630.357,2,0.8
2.4,1.8,633.2617,4,0.8
2.4,1.8,636.17,6,0.8
2.4,1.8,639.2486,8,0.8
2.4,1.8,642.011,10,0.8
2.4,1.8,644.7623,12,0.8
2.4,1.8,647.386,14,0.8
2.4,1.8,630.5127,2,0.9
2.4,1.8,633.3773,4,0.9
2.4,1.8,636.2212,6,0.9
2.4,1.8,639.0565,8,0.9
2.4,1.8,641.7912,10,0.9
2.4,1.8,644.4655,12,0.9
2.4,1.8,646.699,14,0.9
2.4,1.9,599.6039,2,0.2
2.4,1.9,603.4848,4,0.2
2.4,1.9,607.5123,6,0.2
2.4,1.9,611.5912,8,0.2
2.4,1.9,615.5222,10,0.2
2.4,1.9,624.1,14,0.2
2.4,1.9,610.608,2,0.3
2.4,1.9,614.117,4,0.3
2.4,1.9,617.8607,6,0.3
2.4,1.9,621.0821,8,0.3
2.4,1.9,624.9973,10,0.3
2.4,1.9,629.4284,12,0.3
2.4,1.9,633.88,14,0.3
2.4,1.9,618.0002,2,0.4
2.4,1.9,621.2958,4,0.4
2.4,1.9,624.8554,6,0.4
2.4,1.9,628.4545,8,0.4
2.4,1.9,632.2597,10,0.4
2.4,1.9,636.1464,12,0.4
2.4,1.9,642.1591,14,0.4
2.4,1.9,623.4761,2,0.5
2.4,1.9,626.7462,4,0.5
2.4,1.9,630.1037,6,0.5
2.4,1.9,633.5796,8,0.5
2.4,1.9,637.2226,10,0.5
2.4,1.9,641.126,12,0.5
2.4,1.9,645.0186,14,0.5
2.4,1.9,627.2081,2,0.6
2.4,1.9,630.5075,4,0.6
2.4,1.9,633.8319,6,0.6
2.4,1.9,637.1249,8,0.6
2.4,1.9,640.5726,10,0.6
2.4,1.9,644.3161,12,0.6
2.4,1.9,647.7771,14,0.6
2.4,1.9,629.8274,2,0.7
2.4,1.9,632.9594,4,0.7
2.4,1.9,636.1275,6,0.7
2.4,1.9,639.3403,8,0.7
2.4,1.9,642.5357,10,0.7
2.4,1.9,645.9466,12,0.7
2.4,1.9,648.9123,14,0.7
2.4,1.9,631.3627,2,0.8
2.4,1.9,634.5047,4,0.8
2.4,1.9,637.4585,6,0.8
2.4,1.9,640.5765,8,0.8
2.4,1.9,643.3799,10,0.8
2.4,1.9,646.1891,12,0.8
2.4,1.9,648.7422,14,0.8
2.4,1.9,631.7367,2,0.9
2.4,1.9,634.611,4,0.9
2.4,1.9,637.5002,6,0.9
2.4,1.9,640.3536,8,0.9
2.4,1.9,643.1043,10,0.9
2.4,1.9,645.7981,12,0.9
2.4,1.9,648.232,14,0.9
2.5,1.4,602.5771,2,0.2
2.5,1.4,606.7721,4,0.2
2.5,1.4,611.3154,6,0.2
2.5,1.4,615.4446,8,0.2
2.5,1.4,619.7212,10,0.2
2.5,1.4,628.1154,14,0.2
2.5,1.4,609.9588,2,0.3
2.5,1.4,613.8108,4,0.3
2.5,1.4,617.2541,6,0.3
2.5,1.4,621.0688,8,0.3
2.5,1.4,624.9567,10,0.3
2.5,1.4,628.7727,12,0.3
2.5,1.4,615.0579,2,0.4
2.5,1.4,618.5143,4,0.4
2.5,1.4,621.9098,6,0.4
